ID,Age,UseByTime,AthleticsActivities,WaterActivities,FitnessActivities,TeamActivities,RacketActivities,CombatActivities,SpecialActivities,OtherActivities,HasReferences,NumberOfReferences,Dropout,Active_Period,Contract_Duration,PercentageOfVisits,TotalNumberOfActivities,MonthlyValue,PercentageOfClasses,Freq_Visits_Day,Freq_Classes_Contract,Visits_ActivePeriod,Gender_Female
10000,3.0833333333333335,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,183,58,0.33,1,89.35,77.78,0.1552,0.1207,0.0109,1
10001,0.5,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,364,398,0.06,1,39.93,4.35,0.0578,0.0025,0.0027,1
10002,0.0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,180,30,0.2,1,37.6,0.0,0.2,0.0,0.0333,0
10003,-1.1666666666666667,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,364,160,0.17,1,31.08,10.0,0.125,0.0125,0.0082,0
10004,1.0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,180,778,0.0,1,14.93,0.0,0.0527,0.0,0.0,0
10005,0.08333333333333333,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,365,243,0.44,1,20.0,0.0,0.1152,0.0,0.0712,1
10006,0.0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,180,1283,0.1,1,3.5,0.0,0.0171,0.0,0.0167,0
10007,0.0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,180,1589,0.18,1,4.59,0.0,0.0214,0.0,0.0611,0
10008,0.5,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,180,425,0.0,1,16.35,0.0,0.0141,0.0,0.0,0
10009,-0.75,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,364,209,0.0,1,42.25,100.0,0.0287,0.0287,0.0,1
